date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
20-Apr,68,45,56,6.8,38,30,45,9,0,548,1927,,T,0,0,29.25,30.17,10,25,140,20,130
21-Apr,62,48,55,5.4,85,50,52,10,0,546,1928,"RA,BR",0.25,0,0,28.96,29.87,6.9,22,200,16,200
22-Apr,57,41,49,-0.9,86,48,50,16,0,545,1929,"RA,FG,BR",T,0,0,29.01,29.98,8.2,18,20,15,40
23-Apr,58,34,46,-4.3,56,31,40,19,0,543,1931,,0,0,0,29.23,30.18,5.7,20,40,13,40
24-Apr,68,40,54,3.4,46,33,45,11,0,542,1932,,0,0,0,29.12,30.04,8.1,20,130,15,140
25-Apr,79,46,62,11,55,43,51,3,0,540,1933,"TS,RA,BR",0.2,0,0,28.89,29.79,10.4,37,310,28,310
26-Apr,51,36,44,-7.3,88,40,41,21,0,539,1934,"TS,RA,FG,BR",0.02,0,0,28.9,29.86,9.5,24,40,18,60
27-Apr,60,33,46,-5.7,51,29,39,19,0,537,1935,,0,0,0,29.04,29.99,10.1,27,60,21,70
28-Apr,47,38,42,-10,70,31,38,23,0,536,1936,"RA,BR",0.31,0,0,29.05,30,9.2,20,80,15,70
29-Apr,51,40,46,-6.3,75,37,41,19,0,534,1937,RA,0.02,0,0,29.15,30.11,6.1,17,50,14,40
30-Apr,56,36,46,-6.6,73,38,43,19,0,533,1939,"RA,BR",0.43,0,0,29.17,30.1,8.1,24,120,16,50
1-May,51,43,47,-6,90,43,45,18,0,532,1940,"RA,BR",0.06,0,0,29.05,30,10.3,22,70,17,70
2-May,55,42,48,-5.3,80,41,45,17,0,530,1941,"RA,BR",0.37,0,0,29.08,30.03,6.1,21,30,16,20
3-May,66,36,51,-2.6,55,37,46,14,0,529,1942,"RA,BR",0.02,0,0,28.95,29.87,6.8,22,240,18,250
4-May,54,47,50,-3.9,83,45,48,15,0,528,1943,"TS,RA,BR",0.43,0,0,28.68,29.62,9.6,27,60,20,50
